"ZIMBA PHILIMON  - M ,RAINBOW",47,3.22%,1.90%,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,,PAPERS %,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,56,,3.84%,"1,458","2,476",59%
WARD: 000103004018 DIWA,,,,,,,,
"TEMBO DAWSON C - M ,PF","2,656",75.30% 30.54%,,,,,,
"MWALE HARRY  - M ,UPND",599,16.98% 6.89%,,,,,,
"MALANDA BENEDICTO  - M ,RAINBOW",182,5.16% 2.09%,,,,,,
,,,90,,2.55%,"3,527","8,698",41%
,,"01030047 ,LUNDAZI CONSTITUENCY",,,,,,
WARD: 000103004019 VUU,,,,,,,,
"BOTHA BENSON  - M ,PF","2,022",54.22% 24.63%,,,,,,
"PHIRI ISAAC  - M ,MMD",758,20.33% 9.23%,,,,,,
"HARA MARTIN  - M ,UPND",644,17.27% 7.84%,,,,,,
"ZULU PUMULO  - M ,FDD",148,3.97% 1.80%,,,,,,
,,,157,,4.21%,"3,729","8,211",45%
WARD: 000103004020 MNYAMAZI,,,,,,,,
"TEMBO GOLDEN  - M ,PF","3,892",63.58% 30.33%,,,,,,
"MFUNE KANNEDY  - M ,IND",839,13.71% 6.54%,,,,,,
"MBALE MATEYO  - M ,UPND",762,12.45% 5.94%,,,,,,
"KAIRA WILLIAM  - M ,UNIP",202,3.30% 1.57%,,,,,,
"PHIRI EDINA  - F ,FDD",145,2.37% 1.13%,,,,,,
"MVULA THOMAS  - M ,RAINBOW",51,0.83% 0.40%,,,,,,
,,,230,,3.76%,"6,121","12,832",48%
WARD: 000103004021 NDONDA,,,,,,,,
"MWALE FUMUZAO  - M ,PF","1,634",49.85% 25.98%,,,,,,
"PHIRI ENOCK  - M ,UPND",533,16.26% 8.48%,,,,,,
"NKHOMA MABVUTO  - M ,IND",469,14.31% 7.46%,,,,,,
"NYIRENDA EPHRON  - M ,FDD",266,8.11% 4.23%,,,,,,
"MWALE WESTEN  - M ,UNIP",182,5.55% 2.89%,,,,,,
"PHIRI ZAKEYO  - M ,RAINBOW",69,2.10% 1.10%,,,,,,
,,,125,,3.81%,"3,278","6,289",52%
WARD: 000103004022 CHILOLA,,,,,,,,
"CHIRWA ALLAN  - M ,PF","1,400",39.14% 21.52%,,,,,,
"SAKALA GEORGE  - M ,IND",904,25.27% 13.90%,,,,,,
"NYIRENDA JOHN  - M ,UPND",860,24.04% 13.22%,,,,,,
"PHIRI JULIUS  - M ,UNIP",204,5.70% 3.14%,,,,,,
"NYIRENDA WYSON  - M ,FDD",93,2.60% 1.43%,,,,,,
,,,116,,3.24%,"3,577","6,505",55%
WARD: 000103004023 CHIMALIRO,,,,,,,,
"NDHLOVU LINDAH  - F ,PF","1,913",59.82% 34.20%,,,,,,
"MWALE CLINT  - M ,IND",619,19.36% 11.07%,,,,,,
"MTONGA WILLIAM  - M ,UPND",304,9.51% 5.44%,,,,,,
"THOSI ANDYSEN  - M ,FDD",118,3.69% 2.11%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"NYOKA ISAIH  - M ,UNIP",115,3.60% 2.06%,,,,,,
,,,129,,4.03%,"3,198","5,593",57%
WARD: 000103004024 MSUZI,,,,,,,,
"PHIRI DAUD  - M ,PF","1,284",56.02% 28.19%,,,,,,
"NDHLOVU MASIYE  - M ,UPND",389,16.97% 8.54%,,,,,,
"CHIRWA DENNIS  - M ,FDD",377,16.45% 8.28%,,,,,,
"TEMBO AMON  - M ,MMD",178,7.77% 3.91%,,,,,,
,,,64,,2.79%,"2,292","4,554",50%
WARD: 000103004025 MKOMBA,,,,,,,,
"MWALE MACKSON T - M ,UPND",615,49.36% 21.27%,,,,,,
"MANDA AARON  - M ,MMD",588,47.19% 20.33%,,,,,,
,,,43,,3.45%,"1,246","2,892",43%
WARD: 000103004026 LUNEVWA,,,,,,,,
"CHIRWA KWIYANI  - M ,PF","1,352",38.39% 19.81%,,,,,,
"MANZI ALEX  - M ,UNIP",720,20.44% 10.55%,,,,,,
"MANZI STEPHEN  - M ,IND",604,17.15% 8.85%,,,,,,
"NGULUBE DOUBT  - M ,UPND",331,9.40% 4.85%,,,,,,
"KANYINJI SIMON  - M ,FDD",268,7.61% 3.93%,,,,,,
"CHIRWA TEMBANI  - M ,RAINBOW",98,2.78% 1.44%,,,,,,
,,,149,,4.23%,"3,522","6,825",52%
WARD: 000103004027 NTHITIMILA,,,,,,,,
"MOYO MATHEWS  - M ,PF","1,181",44.05% 19.04%,,,,,,
"NGOMA CHARLES  - M ,IND","1,035",38.60% 16.69%,,,,,,
"NYIRONGO OSCAR  - M ,UPND",284,10.59% 4.58%,,,,,,
"MTONGA BRIAN  - M ,FDD",77,2.87% 1.24%,,,,,,
,,,104,,3.88%,"2,681","6,203",43%
,,"01030048 ,MALAMBO CONSTITUENCY",,,,,,
WARD: 000103005001 NSEFU,,,,,,,,
"ZULU STEPHEN  - M ,PF","1,297",59.77% 38.90%,,,,,,
"BANDA NASON  - M ,UPND",620,28.57% 18.60%,,,,,,
"MBEWE JOHN  - M ,IND",143,6.59% 4.29%,,,,,,
"MANDA PATSON  - M ,RAINBOW",23,1.06% 0.69%,,,,,,
"MWALE PAUL  - M ,FDD",17,0.78% 0.51%,,,,,,
,,,70,,3.23%,"2,170","3,334",65%
WARD: 000103005002 JUMBE,,,,,,,,
"KAMANGA EDSON  - M ,PF","1,000",57.50% 34.42%,,,,,,
"SAKALA JACOB  - M ,UPND",462,26.57% 15.90%,,,,,,
"NGOMA JONATHAN  - M ,RAINBOW",235,13.51% 8.09%,,,,,,
,,,42,,2.42%,"1,739","2,905",60%
WARD: 000103005003 CHIPAPA,,,,,,,,
"PHIRI GREYSON  - M ,PF",745,56.35% 30.11%,,,,,,
,VOTES OBTAINED,% AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST,REGISTERED,VOTES,PAPERS %,CAST,VOTERS,TURNOUT
,,,VOTERS,,,,,
"MWALE PETER  - M ,UPND",481,36.38%,19.44%,,,,,
"CHILEMBO ZACKS  - M ,RAINBOW",50,3.78%,2.02%,,,,,
"MWALE JUSTIN  - M ,FDD",22,1.66%,0.89%,,,,,
,,,,24,1.82%,"1,322","2,474",53%
WARD: 000103005004 MPHOMWA,,,,,,,,
"MBEWE WEBSON  - M ,PF",931,58.66%,31.57%,,,,,
"NGOMA YOTAM N - M ,UPND",462,29.11%,15.67%,,,,,
"BANDA SEVERIANO  - M ,RAINBOW",86,5.42%,2.92%,,,,,
"TEMBO MIKE  - M ,FDD",63,3.97%,2.14%,,,,,
,,,,45,2.84%,"1,587","2,949",54%
WARD: 000103005005 CHIKOWA,,,,,,,,
"MWALE KAMALIZYA  - M ,PF",471,42.13%,24.44%,,,,,
"NKHOMA MEDARDO  - M ,UPND",344,30.77%,17.85%,,,,,
"ZIMBA TOBIAS  - M ,RAINBOW",144,12.88%,7.47%,,,,,
"MVULA BENSON  - M ,MMD",100,8.94%,5.19%,,,,,
"ZULU PHILIP  - M ,FDD",27,2.42%,1.40%,,,,,
,,,,32,2.86%,"1,118","1,927",58%
WARD: 000103005006 MNKHANYA,,,,,,,,
"NYIRENDA BLACKSON  - M ,PF","1,491",47.79%,25.73%,,,,,
"SAKALA JEREMIAH  - M ,UPND","1,400",44.87%,24.16%,,,,,
"NGOMA NGOZA  - F ,RAINBOW",119,3.81%,2.05%,,,,,
,,,,110,3.53%,"3,120","5,794",54%
WARD: 000103005007 KAKUMBI,,,,,,,,
"MWALE PATRICK  - M ,PF","2,203",54.49%,34.47%,,,,,
"MWILA KALIMA  - M ,MMD",852,21.07%,13.33%,,,,,
"PHIRI GIDEON  - M ,UPND",817,20.21%,12.78%,,,,,
"MWANZA SIMON  - M ,FDD",28,0.69%,0.44%,,,,,
"NKHOMA CLIVE  - M ,RAINBOW",15,0.37%,0.23%,,,,,
,,,,128,3.17%,"4,043","6,391",63%
WARD: 000103005008 NCHEKA,,,,,,,,
"CHULU JONAS  - M ,PF",919,47.52%,25.85%,,,,,
"BWALYA MAINGO  - M ,UPND",833,43.07%,23.43%,,,,,
"NG'UNI GERARD  - M ,RAINBOW",84,4.34%,2.36%,,,,,
"ZULU DANNY  - M ,FDD",34,1.76%,0.96%,,,,,
,,,,64,3.31%,"1,934","3,555",54%
WARD: 000103005009 MALAMA,,,,,,,,
"MWANZA DERICK  - M ,PF",177,55.49%,37.58%,,,,,
"NKHOMA GEORGE  - M ,UPND",140,43.89%,29.72%,,,,,
,,,,2,0.63%,319,471,68%
WARD: 000103005010 MDIMA,,,,,,,,
"PHIRI JOSEPH  - M ,PF","1,276",66.39%,32.58%,,,,,
"MASEKO BOYD  - M ,RAINBOW",291,15.14%,7.43%,,,,,
"BANDA STEPHEN  - M ,UPND",224,11.65% 5.72%,,,,,,
"NYENDWA PETER  - M ,FDD",60,3.12% 1.53%,,,,,,
,,,71,,3.69%,"1,922","3,917",49%
WARD: 000103005011 MSORO,,,,,,,,
"MULAUZI ASSAN  - M ,PF",549,57.07% 28.23%,,,,,,
"PHIRI NOAH  - M ,UPND",315,32.74% 16.20%,,,,,,
"NKHATA GABRIEL  - M ,RAINBOW",47,4.89% 2.42%,,,,,,
"NYIRENDA CHISOMO  - M ,FDD",22,2.29% 1.13%,,,,,,
,,,29,,3.01%,962,"1,945",49%
WARD: 000103005012 KASAMANDA,,,,,,,,
"SAKALA STEPHEN  - M ,PF","1,124",64.08% 37.07%,,,,,,
"MAGUYA BENJAMIN  - M ,UPND",414,23.60% 13.65%,,,,,,
"MWANZA MORGAN  - M ,RAINBOW",122,6.96% 4.02%,,,,,,
"NGOMA NEPHAS  - M ,FDD",19,1.08% 0.63%,,,,,,
,,,75,,4.28%,"1,754","3,032",58%
WARD: 000103005013 NYAKATOKOLI,,,,,,,,
"PHIRI LYFORD  - M ,PF",419,64.36% 41.40%,,,,,,
"ZULU KENNETH  - M ,UPND",174,26.73% 17.19%,,,,,,
"TEMBO MASAUSO  - M ,RAINBOW",27,4.15% 2.67%,,,,,,
"BANDAH NELSON  - M ,FDD",17,2.61% 1.68%,,,,,,
,,,14,,2.15%,651,"1,012",64%
,,"01030049 ,NYIMBA CONSTITUENCY",,,,,,
WARD: 000103006001 CHINSIMBWE,,,,,,,,
"DAKA DERRICK  - M ,PF",368,61.54% 33.67%,,,,,,
"MABOTE BRENDA  - F ,UPND",223,37.29% 20.40%,,,,,,
,,,7,,1.17%,598,"1,093",55%
WARD: 000103006002 KATIPA,,,,,,,,
"BANDA JOHN  - M ,PF",443,53.31% 30.76%,,,,,,
"MUMBA GERSHOM  - M ,UPND",371,44.65% 25.76%,,,,,,
,,,17,,2.05%,831,"1,440",58%
WARD: 000103006003 VIZIMUMBA,,,,,,,,
"TEMBO GASTON  - M ,PF","2,005",67.35% 32.33%,,,,,,
"MWENDA MARREN  - F ,UPND",871,29.26% 14.05%,,,,,,
,,,101,,3.39%,"2,977","6,201",48%
WARD: 000103006004 NGOZI,,,,,,,,
"LUNGU MOSES  - M ,PF","1,221",63.53% 31.05%,,,,,,
"LUNGU ZITHE  - M ,UPND",606,31.53% 15.41%,,,,,,
,,,95,,4.94%,"1,922","3,932",49%
WARD: 000103006005 LWEZI,,,,,,,,
"SAKALA DAVISON  - M ,PF",494,55.63% 26.21%,,,,,,
"DAKA MATHEWS  - M ,UPND",246,27.70% 13.05%,,,,,,
"TEMBO LEMBELANI  - M ,MMD",121,13.63% 6.42%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,27,,3.04%,888,"1,885",47%
WARD: 000103006007 NYIMBA,,,,,,,,
"SAKALA SHELLY  - F ,PF","2,086",62.98% 29.66%,,,,,,
"ZULU ADRON  - M ,UPND",557,16.82% 7.92%,,,,,,
"BANDA MARTIN  - M ,FDD",456,13.77% 6.48%,,,,,,
"TEMBO SANDFORD  - M ,MMD",88,2.66% 1.25%,,,,,,
,,,125,,3.77%,"3,312","7,032",47%
WARD: 000103006008 KALIWE,,,,,,,,
"ZULU ACKSON  - M ,PF","1,242",72.84% 31.45%,,,,,,
"NKHANDE ROBERT  - M ,UPND",282,16.54% 7.14%,,,,,,
"TEMBO RABSON  - M ,MMD",111,6.51% 2.81%,,,,,,
,,,70,,4.11%,"1,705","3,949",43%
WARD: 000103006009 CHIWEZA,,,,,,,,
"SAKALA NOAH  - M ,PF","1,750",71.25% 36.98%,,,,,,
"SAKALA YOBE  - M ,UPND",314,12.79% 6.64%,,,,,,
"TEMBO ARADON  - M ,FDD",289,11.77% 6.11%,,,,,,
,,,103,,4.19%,"2,456","4,732",52%
WARD: 000103006011 CHAMILALA,,,,,,,,
"TEMBO MOSES  - M ,PF",802,82.51% 37.63%,,,,,,
"NDHLOVU BLESSINGS  - M ,FDD",130,13.37% 6.10%,,,,,,
,,,40,,4.12%,972,"2,131",46%
WARD: 000103006012 CHINAMBI,,,,,,,,
"LUNGU DONALD  - M ,PF","1,374",77.02% 31.53%,,,,,,
"PHIRI MPETA  - M ,UPND",301,16.87% 6.91%,,,,,,
"DAKA MOLOSONI  - M ,IND",43,2.41% 0.99%,,,,,,
,,,66,,3.70%,"1,784","4,358",41%
WARD: 000103006013 LUANGWA,,,,,,,,
"SAKALA JOHN  - M ,UPND",309,52.37% 28.12%,,,,,,
"NKHOMA EDWARD  - M ,PF",269,45.59% 24.48%,,,,,,
,,,12,,2.03%,590,"1,099",54%
,,"01030050 ,KAUMBWE CONSTITUENCY",,,,,,
WARD: 000103007016 LUSINDE,,,,,,,,
"BANDA HENRY  - M ,PF","2,203",80.49% 39.14%,,,,,,
"MWANZA BANDSON  - M ,UPND",432,15.78% 7.67%,,,,,,
,,,102,,3.73%,"2,737","5,629",49%
WARD: 000103007017 KAUMBWE,,,,,,,,
"BANDA EDWARD  - M ,PF","1,671",70.48% 27.72%,,,,,,
"PHIRI AGRIPA  - M ,UPND",574,24.21% 9.52%,,,,,,
,,,126,,5.31%,"2,371","6,029",39%
WARD: 000103007018 MANJAZI,,,,,,,,
"SOKONTWE MATHEWS  - M ,PF","1,418",81.64% 33.43%,,,,,,
"NGULUWE SIMON  - M ,UPND",275,15.83% 6.48%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,44,,2.53%,"1,737","4,242",41%
WARD: 000103007019 KANYANGA,,,,,,,,
"BANDA ELLIOT  - M ,PF","1,384",86.99% 44.47%,,,,,,
"TEMBO WINFORD  - M ,UPND",166,10.43% 5.33%,,,,,,
,,,41,,2.58%,"1,591","3,112",51%
WARD: 000103007020 MANYANE,,,,,,,,
"TEMBO CHARLES  - M ,PF","1,831",75.88% 35.00%,,,,,,
"TEMBO JOHN  - M ,UPND",489,20.27% 9.35%,,,,,,
,,,93,,3.85%,"2,413","5,231",46%
,,"01030051 ,MSANZALA CONSTITUENCY",,,,,,
WARD: 000103007001 CHISANGU,,,,,,,,
"MWANZA MILLION  - M ,PF",801,44.55% 19.41%,,,,,,
"LUNGU OLOPEN  - M ,IND",602,33.48% 14.59%,,,,,,
"MWANZA WILSON  - M ,UPND",165,9.18% 4.00%,,,,,,
"CHIRWA NASSON  - M ,FDD",159,8.84% 3.85%,,,,,,
,,,71,,3.95%,"1,798","4,126",44%
WARD: 000103007002 UKWIMI,,,,,,,,
"MAUMBA KEZIAS  - M ,PF","1,266",79.72% 35.19%,,,,,,
"MUKOKWE NGALA  - M ,UPND",265,16.69% 7.37%,,,,,,
,,,57,,3.59%,"1,588","3,598",44%
WARD: 000103007003 LUSANGAZI,,,,,,,,
"BANDA WILLIAM  - M ,PF",750,64.77% 39.77%,,,,,,
"NYONI EVANS  - M ,IND",380,32.82% 20.15%,,,,,,
,,,28,,2.42%,"1,158","1,886",61%
WARD: 000103007004 MAWANDA,,,,,,,,
"MWALE BORNFACE  - M ,PF","1,836",69.34% 31.44%,,,,,,
"MUWOWO DAVID  - M ,UPND",710,26.81% 12.16%,,,,,,
,,,102,,3.85%,"2,648","5,839",45%
WARD: 000103007005 SINGOZI,,,,,,,,
"LUNGU MEVEN  - M ,PF","1,356",75.21% 30.84%,,,,,,
"PHIRI ADESI M - F ,FDD",248,13.75% 5.64%,,,,,,
"PHIRI PETER  - M ,IND",132,7.32% 3.00%,,,,,,
,,,67,,3.72%,"1,803","4,397",41%
WARD: 000103007006 LUTWAZI,,,,,,,,
"MALUMBE ANNA N - F ,PF","1,342",81.19% 40.45%,,,,,,
"KAMBANI PASCAL  - M ,RAINBOW",261,15.79% 7.87%,,,,,,
,,,50,,3.02%,"1,653","3,318",50%
WARD: 000103007007 MATEYO MZEKA,,,,,,,,
"MWALE ELASTO  - M ,PF","2,378",80.28% 39.45%,,,,,,
"MAKUKWE MORRIS  - M ,UPND",503,16.98% 8.34%,,,,,,
,,,81,,2.73%,"2,962","6,028",49%
WARD: 000103007008 NYAKAWISE,,,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"DAKA GEOFFREY  - M ,PF","1,621",50.09% 24.98%,,,,,,
"TEMBO RABSON  - M ,IND","1,196",36.96% 18.43%,,,,,,
"TEMBO GIDEON  - M ,UPND",272,8.41% 4.19%,,,,,,
,,,147,,4.54%,"3,236","6,489",50%
,,"01030052 ,PETAUKE CONSTITUENCY",,,,,,
WARD: 000103007009 NYIKA,,,,,,,,
"NGOMA PAUL  - M ,PF","6,665",74.30% 37.50%,,,,,,
"PHIRI KELVIN  - M ,UPND","1,439",16.04% 8.10%,,,,,,
"PHIRI MOSES  - M ,FDD",593,6.61% 3.34%,,,,,,
,,,273,,3.04%,"8,970","17,774",50%
WARD: 000103007010 CHILIMANYAMA,,,,,,,,
"MWALE MABVUTO A - M ,PF","3,585",67.48% 38.52%,,,,,,
"PHIRI ISAAC  - M ,IND","1,151",21.66% 12.37%,,,,,,
"ZULU ALBERT  - M ,UPND",198,3.73% 2.13%,,,,,,
"PHIRI ZANGOSE  - F ,FDD",80,1.51% 0.86%,,,,,,
,,,299,,5.63%,"5,313","9,307",57%
WARD: 000103007011 KOVYANE,,,,,,,,
"CHIWAWA PATRICK  - M ,PF","2,461",57.49% 33.34%,,,,,,
"DAKA LOVEMORE  - M ,IND",976,22.80% 13.22%,,,,,,
"BANDA MISHECK  - M ,UPND",647,15.11% 8.76%,,,,,,
,,,197,,4.60%,"4,281","7,382",58%
WARD: 000103007012 MBALA,,,,,,,,
"TEMBO ESTHER  - F ,PF","2,326",55.47% 31.05%,,,,,,
"LUNGU TEDSON D - M ,IND","1,446",34.49% 19.30%,,,,,,
"MUMBA ISAAC  - M ,UPND",193,4.60% 2.58%,,,,,,
"PHIRI AMINA  - F ,FDD",37,0.88% 0.49%,,,,,,
,,,191,,4.56%,"4,193","7,491",56%
WARD: 000103007013 NSIMBO,,,,,,,,
"PHIRI SARAH  - F ,PF","1,626",71.32% 40.23%,,,,,,
"PHIRI NSANGU  - M ,UPND",437,19.17% 10.81%,,,,,,
"MBEWE MUSA  - M ,FDD",142,6.23% 3.51%,,,,,,
,,,75,,3.29%,"2,280","4,042",56%
WARD: 000103007014 MSUMBAZI,,,,,,,,
"LUNGU SOPHIA  - F ,PF","4,420",71.46% 40.47%,,,,,,
"CHAWALA GASIANO  - M ,IND",966,15.62% 8.84%,,,,,,
"PHIRI ZILOLE  - M ,UPND",381,6.16% 3.49%,,,,,,
"BANDA EDWARD  - M ,FDD",137,2.22% 1.25%,,,,,,
,,,281,,4.54%,"6,185","10,923",57%
WARD: 000103007015 ONGOLWE,,,,,,,,
"TEMBO ROY  - M ,PF","3,771",75.24% 44.00%,,,,,,
"MWANZA FRANCIS  - M ,IND","1,076",21.47% 12.56%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,165,,3.29%,"5,012","8,570",58%
,,"01030053 ,KAPOCHE CONSTITUENCY",,,,,,
WARD: 000103008009 LUANDAZI,,,,,,,,
"BANDA MOSES  - M ,PF","1,088",73.66% 42.01%,,,,,,
"BANDA ACKSON  - M ,UPND",310,20.99% 11.97%,,,,,,
,,,79,,5.35%,"1,477","2,590",57%
WARD: 000103008010 CHAMAKUWI,,,,,,,,
"ZULU WHITESON  - M ,PF",535,67.64% 37.60%,,,,,,
"BANDA EDWARD  - M ,UPND",126,15.93% 8.85%,,,,,,
"ZULU GEOFREY  - M ,FDD",94,11.88% 6.61%,,,,,,
,,,36,,4.55%,791,"1,423",56%
WARD: 000103008011 NCHINGILIZYA,,,,,,,,
"PHIRI MALLON  - M ,PF","1,294",79.10% 43.31%,,,,,,
"PHIRI KWEZEKANI  - M ,UPND",294,17.97% 9.84%,,,,,,
,,,48,,2.93%,"1,636","2,988",55%
WARD: 000103008012 KAMWAZA,,,,,,,,
"LUNGU FREDRICK  - M ,PF","1,385",78.12% 34.80%,,,,,,
"MBEWE JOSEPH  - M ,UPND",326,18.39% 8.19%,,,,,,
,,,62,,3.50%,"1,773","3,980",45%
WARD: 000103008013 CHING‰ÛªOMBE,,,,,,,,
"TEMBO STEPHEN  - M ,PF","1,502",57.07% 28.74%,,,,,,
"BANDA FRANCIS  - M ,IND",518,19.68% 9.91%,,,,,,
"BANDA THAULO  - M ,FDD",290,11.02% 5.55%,,,,,,
"DAKA MASAUSO  - M ,UPND",231,8.78% 4.42%,,,,,,
,,,91,,3.46%,"2,632","5,227",50%
WARD: 000103008014 KAPOCHE,,,,,,,,
"MITI PETER  - M ,PF","2,616",72.89% 34.45%,,,,,,
"KAISALA YATSON  - M ,UPND",504,14.04% 6.64%,,,,,,
"NJOBVU SIMON  - M ,FDD",322,8.97% 4.24%,,,,,,
,,,147,,4.10%,"3,589","7,593",47%
WARD: 000103008015 MWANGAILA,,,,,,,,
"PHIRI HARRY  - M ,PF","2,388",71.63% 33.07%,,,,,,
"MWANZA ELIOUS  - M ,UPND",489,14.67% 6.77%,,,,,,
"PHIRI LAMECK  - M ,FDD",300,9.00% 4.15%,,,,,,
,,,157,,4.71%,"3,334","7,222",46%
WARD: 000103008016 MATAMBAZI,,,,,,,,
"BESA RANSON  - M ,PF","1,430",67.20% 28.76%,,,,,,
"CHIRWA MATHEW  - M ,UPND",330,15.51% 6.64%,,,,,,
"TEMBO YOBU S - M ,FDD",219,10.29% 4.40%,,,,,,
,,,149,,7.00%,"2,128","4,973",43%
WARD: 000103008017 KAPUNGWE,,,,,,,,
"MWENDA GRINSON  - M ,PF","1,930",78.39% 41.47%,,,,,,
"PHIRI MASAUSO  - M ,UPND",274,11.13% 5.89%,,,,,,
"ZULU CHARLES  - M ,FDD",132,5.36% 2.84%,,,,,,
,,,126,,5.12%,"2,462","4,654",53%
,,"01030054 ,SINDA CONSTITUENCY",,,,,,
WARD: 000103008001 CHITAWE,,,,,,,,
"MITI EDWARD  - M ,PF",705,52.77% 28.75%,,,,,,
"PHIRI BENARD  - M ,UPND",575,43.04% 23.45%,,,,,,
,,,56,,4.19%,"1,336","2,452",54%
WARD: 000103008002 KASANGAZI,,,,,,,,
"PHIRI JONATHAN  - M ,PF",732,36.80% 18.96%,,,,,,
"PHIRI PETER J - M ,IND",570,28.66% 14.77%,,,,,,
"BANDA SAMUEL A - M ,UPND",551,27.70% 14.27%,,,,,,
,,,136,,6.84%,"1,989","3,860",52%
WARD: 000103008003 MNYAMANZI,,,,,,,,
"ZULU SAMSON  - M ,UPND","1,178",49.10% 28.22%,,,,,,
"MAKUKULA GEORGE  - M ,PF","1,107",46.14% 26.52%,,,,,,
,,,114,,4.75%,"2,399","4,174",57%
WARD: 000103008004 MNG‰ÛªOMBA,,,,,,,,
"BANDA ARCHANGEL  - M ,PF","1,245",56.80% 33.09%,,,,,,
"BANDA METADIO  - M ,UPND",857,39.10% 22.77%,,,,,,
,,,90,,4.11%,"2,192","3,763",58%
WARD: 000103008005 NYAMASONKHO,,,,,,,,
"PHIRI STEPHEN  - M ,PF",810,41.01% 21.24%,,,,,,
"SAKALA WILSON  - M ,IND",773,39.14% 20.27%,,,,,,
"PHIRI PEDDU  - M ,UPND",240,12.15% 6.29%,,,,,,
,,,152,,7.70%,"1,975","3,814",52%
WARD: 000103008007 SINDA,,,,,,,,
"BANDA EPIFANO  - M ,PF","1,570",60.15% 32.59%,,,,,,
"MWANZA SHADRECK  - M ,UPND",793,30.38% 16.46%,,,,,,
"BANDA FREDSON  - M ,FDD",124,4.75% 2.57%,,,,,,
,,,123,,4.71%,"2,610","4,817",54%
WARD: 000103008008 CHIWUYU,,,,,,,,
"ZULU PATRICK  - M ,PF","1,095",54.02% 30.06%,,,,,,
"PHIRI COSMAS  - M ,UPND",801,39.52% 21.99%,,,,,,
,,,131,,6.46%,"2,027","3,643",56%
,,"01030055 ,VUBWI CONSTITUENCY",,,,,,
WARD: 000103009001 MBOZI,,,,,,,,
"PHIRI WELUZANI  - M ,PF",801,57.42% 33.43%,,,,,,
"SAKALA TAULINO  - M ,UPND",316,22.65% 13.19%,,,,,,
"BANDA DEUS  - M ,MMD",129,9.25% 5.38%,,,,,,
"BANDA ALEX  - M ,FDD",81,5.81% 3.38%,,,,,,
,,,,68,4.87%,"1,395","2,396",58%
WARD: 000103009002 VUBWI,,,,,,,,
"BANDA ISAAC  - M ,PF",716,55.38%,33.09%,,,,,
"MWANZA LACKSON  - M ,UPND",396,30.63%,18.30%,,,,,
"MBEWE VINCENT  - M ,RAINBOW",93,7.19%,4.30%,,,,,
"PHIRI COLLINS K - M ,FDD",46,3.56%,2.13%,,,,,
,,,,42,3.25%,"1,293","2,164",60%
WARD: 000103009003 MBANDE,,,,,,,,
"PHIRI SEVELIANO  - M ,PF",505,64.01%,33.38%,,,,,
"CHULU TEDDY  - M ,UPND",144,18.25%,9.52%,,,,,
"BANDA PETER  - M ,FDD",71,9.00%,4.69%,,,,,
"ZULU THOMAS  - M ,RAINBOW",38,4.82%,2.51%,,,,,
,,,,31,3.93%,789,"1,513",52%
WARD: 000103009004 CHISIYA,,,,,,,,
"MBEWE HERMS  - M ,PF",985,53.80%,23.10%,,,,,
"SAKALA ROBERT  - M ,FDD",316,17.26%,7.41%,,,,,
"MWANZA EDWARD  - M ,UPND",236,12.89%,5.53%,,,,,
"PHIRI HENRY  - M ,UNIP",210,11.47%,4.92%,,,,,
,,,,84,4.59%,"1,831","4,264",43%
WARD: 000103009005 CHIMPHANJE,,,,,,,,
"ZULU HENRY  - M ,PF",466,54.82%,28.09%,,,,,
"NKHOMA SHADRECK  - M ,UPND",298,35.06%,17.96%,,,,,
"DAKA MAXWELL  - M ,FDD",56,6.59%,3.38%,,,,,
,,,,30,3.53%,850,"1,659",51%
WARD: 000103009006 MLAWE,,,,,,,,
